Guest Name,Episode Number,Subject,Blog URL,Guest Links
"Brooke Briggs",13,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/brooke-briggs-on-creating-children-s-music-meaningful-work-motherhood","https://www.farmschooloc.com/"
"Jessica Renee",19,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/burnout-to-balance-with-jessica-renee-reclaiming-confidence-and-purpose","https://www.instagram.com/jessicarenee_style/ | https://a.co/d/ej9A37z"
"Sybil Steele",12,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/chapters-of-change-sybil-steele-on-purpose-creative-risks-and-doing-work-that-matters","http://www.sybilsteele.com"
"Lindsay Smith",40,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/chef-lindsay-smith-19-years-divorce-rebuilding","https://www.instagram.com/nirvana.laguna/ | https://nirvanlaguna.com"
"Dave Lundgren",46,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/dave-lundgren-loveness-ai-wealth-through-conscious-leadership","https://dave-lundgren.com"
"Dr. Katie Pritchett",42,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/dr-katie-pritchett-toxic-resilience-why-women-must-lead-the-ai-revolution","https://drkatiepritchett.com/ | https://drkatiepritchett.com/pattern-quiz"
"Amanda Jaggard",32,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/executive-coaching-motherhood-amanda-jaggard-on-culture-commitments-and-raising-leaders",""
"Spring Eatmon",34,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/faith-finance-the-freedom-to-lead-with-purpose","https://liinks.co/springeatmon | https://instagram.com/springeatmon"
"Amy Bohn",38,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/from-brain-injury-to-capitol-warrior-amy-bohn-s-fight-for-50-000-kids-denied-school","https://www.perkadvocacy.com/ | https://a.co/d/ej9A37z"
"Eden Marie James",36,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/from-injury-to-advocacy-with-eden-marie-james-a-mom-s-mission-for-truth-health-and-change","https://www.maha-mom-coalition.com | https://a.co/d/ej9A37z"
"Gabrielle Scout Maio",37,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/from-mental-health-battle-to-pr-empire-gabrielle-scout-maio-s-5-000-episode-movement","https://scoutsagency.com | https://a.co/d/ej9A37z"
"Kathryn Letson",27,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/from-nyc-burnout-to-ethical-fashion-empire","https://bytheseacompany.com"
"Dr. Andrea Mata",57,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/gentle-parenting-vs-authoritative-parenting-what-actually-works","https://instagram.com/drdremata | https://andreadmata.com/ | https://www.youtube.com/@drdremata | https://www.linkedin.com/in/andrea-mata-ph-d-278765225/ | https://a.co/d/01cSFY1k"
"Hannah White",4,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/hannah-white-on-single-motherhood-tech-hustle-finding-power-at-26",""
"Heather Gerber",20,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/heather-gerber-on-community-education-leading-with-heart","https://guidingourdays.com | https://a.co/d/ej9A37z"
"Dr. Laura Brayton",56,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/holistic-motherhood-pregnancy-self-care-nervous-system-health-with-dr-laura-brayton","https://www.instagram.com/drlaurabrayton | https://drlaurabrayton.com/ | https://www.youtube.com/@DrLauraBrayton | https://www.linkedin.com/in/drlaurabrayton/ | https://hobokenchiro.com/"
"Alyssa Nolte",24,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/how-alyssa-nolte-accidentally-built-a-tech-company","https://www.linkedin.com/in/alyssanolte/ | https://alyssanolte.com"
"Kathleen Reed",18,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/how-entrepreneurship-gave-kathleen-reed-her-power-back","https://www.westcoastmyo.com/ | https://a.co/d/ej9A37z"
"Lynda Harvey",30,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/how-to-manage-yourself-before-you-manage-others","https://www.instagram.com/lynda.leads"
"Scott MacGregor",50,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/intentional-relationship-building-scott-macgregor-on-why-human-connection-beats-everything","https://www.instagram.com/scottmacgregor_official/ | https://www.outliermagazine.co | https://www.youtube.com/@theoutlierproject | https://www.linkedin.com/in/macgregorscott/"
"Julie E. Health",44,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/julie-e-health-3-steps-to-unlimited-healing","https://www.instagram.com/julieehealth/ | https://julieehealth.com | https://www.youtube.com/@JulieEhealth"
"Kelly Abney",5,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/kelly-abney-on-grit-growth-the-unseen-hustle-of-women-in-fitness",""
"Laura Linsenmeyer",11,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/laura-linsenmeyer-on-clean-beauty-courage-building-a-conscious-brand","https://rootsbeauty.com | https://instagram.com/rootslagunabeach"
"Elizabeth Taylor",31,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/leadership-is-a-behavior-elizabeth-taylor-on-burnout-boundaries-credit-confidence","https://www.pwmnet.com/content/30e9024f-23ec-5f3e-8d17-24994705343d | https://www.calamos.com/globalassets/media/retirement/women-and-wealth-women-want-to-understand-the-risks-theyre-taking.pdf?utm_source=chatgpt.com"
"Leigh Dundas",23,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/leigh-dundas-on-the-fight-for-change-no-one-talks-about","https://www.leighdundas.com | https://a.co/d/ej9A37z"
"Leslie Christen",6,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/leslie-christen-on-turning-grief-into-grit-leading-with-heart",""
"Lindsay Buwalda",15,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/lindsay-buwalda-on-reinvention-resilience-creating-bliss-after-divorce","https://a.co/d/ej9A37z"
"Bart Morse",28,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/marriage-masculinity-mental-load-a-conversation-with-bart-morse","http://www.lionsdenprogram.com"
"Melissa Northway",41,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/melissa-northway-money-is-freedom","https://www.melissacnorthway.com/"
"Nada Lena Nasserdeen",14,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/nada-nasserdeen-on-confidence-leadership-rising-up-without-permission","https://a.co/d/ej9A37z | https://www.nadalena.com | https://www.riseupforyou.com"
"Neetu Sadhwani",1,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/neetu-sadhwani-on-burnout-bold-moves-building-your-own-table",""
"Nikki Bostwick",2,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/nikki-bostwick-on-intuitive-leadership-saffron-lattes-conscious-motherhood",""
"Kristina Irwin",53,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/option-a-this-mom-saw-what-schools-were-teaching-her-kids-now-she-s-running-for-office","https://kristinairwin.com | https://www.linkedin.com/in/kristinairwin | https://www.efundraisingconnections.com/c/KristinaIrwinforStateSenate2026"
"Paige Johnson",16,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/paige-johnson-on-pilates-partnership-finding-her-mantra-through-motherhood","https://a.co/d/ej9A37z"
"Pam Roy",29,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/parenting-with-purpose-pam-roy-on-meaning-legacy-raising-resilient-kids","http://www.pamroyblog.com | http://www.b-unbound.org | https://www.dixonchibanda.com | https://www.viktorfranklinstitute.org"
"Dave Lundgren",58,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/real-estate-investing-for-women-lease-options-tax-loopholes-creative-deals-with-dave-lundgren","https://www.instagram.com/dave_lundgren | https://www.dave-lundgren.com/"
"Denielle Finkelstein and Thyme Sullivan",26,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/redesigning-dignity-how-unicorn-is-transforming-restroom-equity",""
"Lyndsay Dowd",33,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/reinvent-yourself-at-any-age-leadership-culture-community-with-lyndsay-dowd","https://heartbeatforhire.com"
"Kristina Kristen",35,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/reset-your-mitochondria-for-energy-longevity-health",""
"Chelsea Ann O'Brien",54,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/returning-to-your-feminine-nature-why-modern-women-are-out-of-balance",""
"Dr. Holly Wood",39,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/sexologist-dr-holly-wood-pleasure-is-self-care","https://www.instagram.com/drhollywoodphd/ | https://www.thehollywoodsexologist.com/"
"Kristina Campos",55,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/she-lost-herself-in-motherhood-then-built-an-empire-from-her-closet-floor","https://theimpactfulparent.com/ | https://www.facebook.com/theimpactfulparent | https://www.linkedin.com/company/theimpactfulparent | https://theimpactfulparent.com/youtube"
"Stacy Clark",10,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/stacy-clark-on-harmonizing-life-as-a-musician-momager-and-advocate",""
"Stephanie Guttman",43,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/stephanie-guttman-rewrite-your-money-story","https://www.instagram.com/huntresswealth/ | https://www.huntresswealth.com/ | https://www.youtube.com/@TalkRichToMe | https://www.linkedin.com/company/huntresswealth/ | https://huntresswealth.substack.com/ | https://linktr.ee/huntresswealth"
"Barbara Schreihans",45,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/stop-letting-your-accountant-say-no-tax-strategy-for-entrepreneurs","https://barbaraschreihans.com/ | https://www.linkedin.com/company/your-tax-coach/"
"Dr. Danielle Dowling",51,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/the-10-trillion-job-you-re-doing-for-free","https://www.instagram.com/iamdanielledowling | https://danielle-dowling.com | https://www.amazon.com/dp/B0FXHMX8F3 | https://www.youtube.com/@DanielleDowling"
"Dr. Shana Hartman and Dr. Cindy Urbanski",47,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/the-book-midwives-who-birthed-my-book-and-changed-how-women-write","https://shanahartman.com/ | https://linktr.ee/cindy_d_urbanski | https://shanahartman.com/about"
"Ioanna Mantzouridou",21,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/the-future-of-learning-power-skills-microlearning-ai-with-ioanna-mantzouridou","https://www.dextego.com | http://linkedin.com/in/joannemantzouridou"
"Dr. Mary ""Sunny"" Raleigh",9,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/the-gut-brain-connection-radical-healing-with-dr-mary-sunny-raleigh","http://www.rhealthc.com | https://a.co/d/6R7eKiC"
"Steve Edwards",48,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/the-hidden-side-of-media-lessons-from-a-50-year-insider",""
"Tiana Reeves",52,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/the-leadership-legacy-most-moms-are-accidentally-destroying","https://www.getinnov8it.com/ | https://www.linkedin.com/in/tiana-reeves-pmp-pmi-acp-cssbb-2080427/"
"Vanessa Morgan",3,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/vanessa-morgan-on-emotional-wellness-boundaries-building-stronger-relationships",""
"Wendee Close",7,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/wendee-close-on-bold-goals-business-leadership-living-life-on-purpose","https://www.goals2life.com"
"Christina Wooldridge",49,"Your episode on The Manage Her® is live — here's your link","https://themanageher.com/blog/why-silly-business-ideas-outperform-serious-ones","https://triviagoat.com/ | https://www.linkedin.com/in/christinamariehernandez/"
